,instId,datetime,interval,open_price,high_price,low_price,close_price,volume,gateway_name
0,BTC-USDT,2023-05-15 23:17:00+08:00,m,27392.0,27392.0,27392.0,27392.0,18.25350102,okex
1,BTC-USDT,2023-05-15 23:16:00+08:00,m,27428.1,27428.5,27392.2,27392.2,4658.30867551,okex
2,BTC-USDT,2023-05-15 23:15:00+08:00,m,27426.0,27441.1,27426.0,27427.8,7412.34766906,okex
3,BTC-USDT,2023-05-15 23:14:00+08:00,m,27422.3,27428.2,27419.8,27425.9,2785.18604163,okex
4,BTC-USDT,2023-05-15 23:13:00+08:00,m,27435.6,27439.7,27415.8,27422.3,5904.52522856,okex
5,BTC-USDT,2023-05-15 23:12:00+08:00,m,27409.1,27446.5,27409.1,27434.0,11341.45564429,okex
6,BTC-USDT,2023-05-15 23:11:00+08:00,m,27399.9,27426.5,27399.9,27408.9,6372.33746263,okex
7,BTC-USDT,2023-05-15 23:10:00+08:00,m,27385.9,27400.0,27382.0,27399.9,3225.68936276,okex
8,BTC-USDT,2023-05-15 23:09:00+08:00,m,27378.7,27388.0,27367.0,27385.9,7038.80401507,okex
9,BTC-USDT,2023-05-15 23:08:00+08:00,m,27401.7,27401.7,27378.7,27378.7,1839.68399635,okex
10,BTC-USDT,2023-05-15 23:07:00+08:00,m,27381.1,27400.0,27373.9,27400.0,7685.50823432,okex
11,BTC-USDT,2023-05-15 23:06:00+08:00,m,27386.2,27388.6,27375.7,27380.6,5425.01238481,okex
12,BTC-USDT,2023-05-15 23:05:00+08:00,m,27411.7,27411.7,27380.7,27386.2,4344.52396432,okex
13,BTC-USDT,2023-05-15 23:04:00+08:00,m,27410.6,27413.9,27403.2,27411.1,4092.37745295,okex
14,BTC-USDT,2023-05-15 23:03:00+08:00,m,27412.3,27420.6,27410.6,27410.6,4212.98309003,okex
15,BTC-USDT,2023-05-15 23:02:00+08:00,m,27420.5,27420.5,27402.4,27411.7,4238.68540704,okex
16,BTC-USDT,2023-05-15 23:01:00+08:00,m,27401.5,27420.5,27400.0,27420.2,5019.68290371,okex
17,BTC-USDT,2023-05-15 23:00:00+08:00,m,27403.7,27424.0,27401.6,27402.1,6179.27839733,okex
18,BTC-USDT,2023-05-15 22:59:00+08:00,m,27419.2,27419.2,27395.1,27406.1,5850.98770447,okex
19,BTC-USDT,2023-05-15 22:58:00+08:00,m,27410.8,27437.9,27410.8,27419.2,8274.08815235,okex
20,BTC-USDT,2023-05-15 22:57:00+08:00,m,27453.5,27468.7,27410.6,27410.7,7992.04010349,okex
21,BTC-USDT,2023-05-15 22:56:00+08:00,m,27473.2,27473.2,27438.8,27454.3,6449.51894437,okex
22,BTC-USDT,2023-05-15 22:55:00+08:00,m,27482.9,27489.6,27473.2,27473.2,5050.95626232,okex
23,BTC-USDT,2023-05-15 22:54:00+08:00,m,27509.4,27509.4,27477.3,27482.9,7297.67483689,okex
24,BTC-USDT,2023-05-15 22:53:00+08:00,m,27512.9,27535.6,27501.9,27509.4,14197.8270591,okex
25,BTC-USDT,2023-05-15 22:52:00+08:00,m,27439.9,27531.5,27439.9,27512.3,22679.13812959,okex
26,BTC-USDT,2023-05-15 22:51:00+08:00,m,27419.8,27449.2,27415.5,27440.0,16159.89129055,okex
27,BTC-USDT,2023-05-15 22:50:00+08:00,m,27415.3,27419.8,27392.6,27419.7,8293.48551433,okex
28,BTC-USDT,2023-05-15 22:49:00+08:00,m,27373.0,27415.2,27373.0,27415.2,16388.97506842,okex
29,BTC-USDT,2023-05-15 22:48:00+08:00,m,27335.4,27378.4,27335.4,27372.9,15846.83080176,okex
30,BTC-USDT,2023-05-15 22:47:00+08:00,m,27332.0,27337.9,27332.0,27336.1,4071.51473337,okex
31,BTC-USDT,2023-05-15 22:46:00+08:00,m,27332.3,27332.4,27327.6,27331.9,1620.34560371,okex
32,BTC-USDT,2023-05-15 22:45:00+08:00,m,27331.0,27338.5,27326.5,27332.6,5056.13175619,okex
33,BTC-USDT,2023-05-15 22:44:00+08:00,m,27331.0,27337.1,27331.0,27331.0,999.71792083,okex
34,BTC-USDT,2023-05-15 22:43:00+08:00,m,27336.0,27337.3,27329.4,27331.0,2411.68314073,okex
35,BTC-USDT,2023-05-15 22:42:00+08:00,m,27312.5,27338.6,27312.5,27335.9,9056.27190606,okex
36,BTC-USDT,2023-05-15 22:41:00+08:00,m,27310.3,27317.0,27310.3,27313.6,7161.69212737,okex
37,BTC-USDT,2023-05-15 22:40:00+08:00,m,27319.4,27319.4,27305.7,27310.2,4096.0395845,okex
38,BTC-USDT,2023-05-15 22:39:00+08:00,m,27327.0,27327.0,27319.5,27319.5,430.54444871,okex
39,BTC-USDT,2023-05-15 22:38:00+08:00,m,27328.9,27329.2,27322.1,27327.0,2140.85224867,okex
40,BTC-USDT,2023-05-15 22:37:00+08:00,m,27323.0,27327.4,27315.6,27327.4,2842.43910186,okex
41,BTC-USDT,2023-05-15 22:36:00+08:00,m,27318.7,27329.3,27318.7,27322.9,5429.83035368,okex
42,BTC-USDT,2023-05-15 22:35:00+08:00,m,27329.4,27333.8,27324.4,27324.4,4501.50735387,okex
43,BTC-USDT,2023-05-15 22:34:00+08:00,m,27310.7,27333.2,27310.7,27329.5,6117.63976418,okex
44,BTC-USDT,2023-05-15 22:33:00+08:00,m,27281.6,27310.6,27281.6,27310.6,7002.57372224,okex
45,BTC-USDT,2023-05-15 22:32:00+08:00,m,27303.0,27303.4,27281.6,27281.6,2108.89201787,okex
46,BTC-USDT,2023-05-15 22:31:00+08:00,m,27303.6,27304.0,27301.1,27302.8,2840.20463869,okex
47,BTC-USDT,2023-05-15 22:30:00+08:00,m,27298.5,27307.3,27298.5,27303.6,2150.10988956,okex
48,BTC-USDT,2023-05-15 22:29:00+08:00,m,27304.0,27304.0,27293.3,27298.5,2696.43402201,okex
49,BTC-USDT,2023-05-15 22:28:00+08:00,m,27294.0,27304.0,27285.5,27304.0,5522.79024799,okex
50,BTC-USDT,2023-05-15 22:27:00+08:00,m,27277.9,27292.7,27277.8,27292.7,4198.74239468,okex
51,BTC-USDT,2023-05-15 22:26:00+08:00,m,27264.1,27280.8,27263.2,27277.9,6668.95387641,okex
52,BTC-USDT,2023-05-15 22:25:00+08:00,m,27263.8,27274.3,27260.0,27265.2,5454.62523258,okex
53,BTC-USDT,2023-05-15 22:24:00+08:00,m,27267.6,27278.6,27263.4,27263.8,4618.78449556,okex
54,BTC-USDT,2023-05-15 22:23:00+08:00,m,27263.7,27269.8,27258.0,27267.7,7701.43465169,okex
55,BTC-USDT,2023-05-15 22:22:00+08:00,m,27271.8,27276.6,27260.0,27263.8,5132.29754144,okex
56,BTC-USDT,2023-05-15 22:21:00+08:00,m,27261.0,27270.5,27255.1,27270.5,8143.51160383,okex
57,BTC-USDT,2023-05-15 22:20:00+08:00,m,27243.3,27267.6,27226.8,27261.0,10350.63286068,okex
58,BTC-USDT,2023-05-15 22:19:00+08:00,m,27257.5,27292.7,27228.1,27244.0,21406.99196028,okex
59,BTC-USDT,2023-05-15 22:18:00+08:00,m,27279.0,27279.1,27257.6,27257.6,10880.46917077,okex
60,BTC-USDT,2023-05-15 22:17:00+08:00,m,27290.1,27290.1,27272.2,27281.3,10038.80343828,okex
61,BTC-USDT,2023-05-15 22:16:00+08:00,m,27296.3,27297.3,27290.1,27290.1,2344.99519084,okex
62,BTC-USDT,2023-05-15 22:15:00+08:00,m,27287.5,27296.5,27279.2,27295.7,9086.89368539,okex
63,BTC-USDT,2023-05-15 22:14:00+08:00,m,27309.2,27310.0,27278.0,27287.7,6548.76537014,okex
64,BTC-USDT,2023-05-15 22:13:00+08:00,m,27307.3,27309.2,27289.4,27309.2,5517.05021036,okex
65,BTC-USDT,2023-05-15 22:12:00+08:00,m,27298.3,27308.9,27281.8,27308.9,8098.88940402,okex
66,BTC-USDT,2023-05-15 22:11:00+08:00,m,27309.9,27323.7,27297.0,27297.7,9923.77845009,okex
67,BTC-USDT,2023-05-15 22:10:00+08:00,m,27283.7,27321.8,27260.8,27310.7,15702.68781103,okex
68,BTC-USDT,2023-05-15 22:09:00+08:00,m,27330.3,27334.5,27280.9,27284.0,9149.82504907,okex
69,BTC-USDT,2023-05-15 22:08:00+08:00,m,27334.5,27349.7,27330.5,27330.5,6506.32622332,okex
70,BTC-USDT,2023-05-15 22:07:00+08:00,m,27354.1,27363.6,27334.8,27334.8,5823.15492933,okex
71,BTC-USDT,2023-05-15 22:06:00+08:00,m,27344.0,27354.5,27343.8,27354.0,6280.47563987,okex
72,BTC-USDT,2023-05-15 22:05:00+08:00,m,27334.8,27358.1,27333.8,27345.6,6573.02260345,okex
73,BTC-USDT,2023-05-15 22:04:00+08:00,m,27351.5,27358.1,27331.0,27334.7,4891.90932071,okex
74,BTC-USDT,2023-05-15 22:03:00+08:00,m,27363.7,27363.7,27351.5,27351.6,686.64150717,okex
75,BTC-USDT,2023-05-15 22:02:00+08:00,m,27371.6,27371.6,27363.1,27363.7,1860.87267887,okex
76,BTC-USDT,2023-05-15 22:01:00+08:00,m,27369.4,27376.5,27369.3,27372.0,2271.98379769,okex
77,BTC-USDT,2023-05-15 22:00:00+08:00,m,27377.6,27377.6,27366.1,27369.0,3893.98130953,okex
78,BTC-USDT,2023-05-15 21:59:00+08:00,m,27369.5,27377.4,27366.1,27377.4,6069.81590841,okex
79,BTC-USDT,2023-05-15 21:58:00+08:00,m,27366.8,27376.7,27366.8,27369.9,4368.2670442,okex
80,BTC-USDT,2023-05-15 21:57:00+08:00,m,27367.9,27373.9,27361.3,27366.9,3823.74385522,okex
81,BTC-USDT,2023-05-15 21:56:00+08:00,m,27355.6,27367.8,27355.6,27367.8,4959.29898757,okex
82,BTC-USDT,2023-05-15 21:55:00+08:00,m,27360.5,27366.5,27349.5,27354.9,9156.19124496,okex
83,BTC-USDT,2023-05-15 21:54:00+08:00,m,27357.2,27370.2,27357.2,27360.6,6117.17016507,okex
84,BTC-USDT,2023-05-15 21:53:00+08:00,m,27382.0,27383.5,27351.2,27357.3,5479.53905936,okex
85,BTC-USDT,2023-05-15 21:52:00+08:00,m,27383.0,27393.7,27381.9,27381.9,4209.30892118,okex
86,BTC-USDT,2023-05-15 21:51:00+08:00,m,27393.2,27395.1,27383.8,27383.8,1999.2114044,okex
87,BTC-USDT,2023-05-15 21:50:00+08:00,m,27399.0,27402.3,27393.4,27393.4,1370.76004573,okex
88,BTC-USDT,2023-05-15 21:49:00+08:00,m,27416.6,27423.0,27398.0,27399.4,5588.06899799,okex
89,BTC-USDT,2023-05-15 21:48:00+08:00,m,27423.9,27423.9,27393.4,27416.7,7253.6484307,okex
90,BTC-USDT,2023-05-15 21:47:00+08:00,m,27425.5,27432.2,27424.2,27425.0,3803.88434093,okex
91,BTC-USDT,2023-05-15 21:46:00+08:00,m,27443.9,27444.3,27425.4,27425.5,4867.81283109,okex
92,BTC-USDT,2023-05-15 21:45:00+08:00,m,27428.9,27443.8,27428.9,27443.8,8794.385646,okex
93,BTC-USDT,2023-05-15 21:44:00+08:00,m,27426.0,27429.5,27422.7,27428.7,4379.72370236,okex
94,BTC-USDT,2023-05-15 21:43:00+08:00,m,27430.0,27436.3,27425.4,27426.4,1973.04949202,okex
95,BTC-USDT,2023-05-15 21:42:00+08:00,m,27441.4,27441.4,27428.3,27431.2,5118.90556265,okex
96,BTC-USDT,2023-05-15 21:41:00+08:00,m,27429.5,27450.4,27423.3,27443.6,10470.41995149,okex
97,BTC-USDT,2023-05-15 21:40:00+08:00,m,27420.9,27429.3,27415.9,27429.3,6983.26898952,okex
98,BTC-USDT,2023-05-15 21:39:00+08:00,m,27419.9,27420.9,27411.9,27420.9,4322.66742734,okex
99,BTC-USDT,2023-05-15 21:38:00+08:00,m,27403.4,27425.7,27403.4,27421.6,6935.54823062,okex
